!ENTER	[] sil
!EXIT	[] sil
sil		sil 
aaLL	aa ll sp
aaLLaa	aa ll aa sp
aaLLaap0ooLL	aa ll aa p0 oo ll sp
aaLLk0ee	aa ll k0 ee sp
aaLLllyvc0yv	aa ll ll yv c0 yv sp
aaLLmmaaC0xxNN	aa ll mm aa c0 xx nn sp
aaNN	aa nn sp
aaNNC0aa	aa nn c0 aa sp
aaNNC0aas0vv	aa nn c0 aa s0 vv sp
aaNNHHaaSSnnxxnnyaee	aa nn aa nn nn xx nn ya ee sp
aaNNHHaaSSt0aa	aa nn aa t0 tt aa sp
aaNNHHk0ee	aa nn kh ee sp
aaNNHHk0oo	aa nn kh oo sp
aaNNHHnnxxNN	aa nn nn xx nn sp
aaNNHHnnxxNNt0aa	aa nn nn xx nn t0 aa sp
aaNNHHnnxxNNt0ee	aa nn nn xx nn t0 ee sp
aaNNHHnnxxnnya	aa nn nn xx nn ya sp
aaNNHHt0aa	aa nn th aa sp
aaNNHHt0vvNN	aa nn th vv nn sp
aaNNHHxxNN	aa nn xx nn sp
aaNNHHxxNNk0aa	aa nn xx nn k0 aa sp
aaNNHHxxmmyvNN	aa nn xx mm yv nn sp
aaNNHHxxmmyvNNs0vvt0oo	aa nn xx mm yv nn s0 vv t0 oo sp
aaNNee	aa nn ee sp
aaNNees0vv	aa nn ee s0 vv sp
aaNNk0eek0aa	aa nn k0 ee k0 aa sp
aaNNk0iik0iimmaaNN	aa nn k0 ii k0 ii mm aa nn sp
aaNNk0oo	aa nn k0 oo sp
aaP0chuuK0t0wek0oo	aa p0 ch uu k0 tt we k0 oo sp
aaP0chuuK0t0wevv	aa p0 ch uu k0 tt we vv sp
aaPH	aa ph sp
aaPHees0vv	aa ph ee s0 vv sp
aaPHs0eeuuk0oo	aa p0 ss ee uu k0 oo sp
aac0iiK0	aa c0 ii k0 sp
aac0iiK0t0oo	aa c0 ii k0 tt oo sp
aac0iillaangiinnxxNN	aa c0 ii ll aa ng ii nn xx nn sp
aac0uu	aa c0 uu sp
aacciiLLhheeSSt0aa	aa cc ii ll hh ee t0 tt aa sp
aahhooP0	aa hh oo p0 sp
aaiit0xxLLeek0ee	aa ii t0 xx ll ee k0 ee sp
aaiit0xxLLii	aa ii t0 xx ll ii sp
aaiit0xxLLk0wa	aa ii t0 xx ll k0 wa sp
aaiit0xxLLxi	aa ii t0 xx ll xi sp
aaiit0xxLLxxNN	aa ii t0 xx ll xx nn sp
aakhaas0iiaakkooCHii	aa kh aa s0 ii aa kk oo ch ii sp
aakkaap0uuthvv	aa kk aa p0 uu th vv sp
aakkaawvs0vvyvSSt0aa	aa kk aa wv s0 vv yv t0 tt aa sp
aallaangk0ooS0hhaac0ii	aa ll aa ng k0 oo s0 hh aa c0 ii sp
aallee	aa ll ee sp
aalleephyvNNxxlloo	aa ll ee ph yv nn xx ll oo sp
aallxxMMt0aaP0k0ee	aa ll xx mm t0 aa p0 kk ee sp
aallxxMMt0aaP0k0oo	aa ll xx mm t0 aa p0 kk oo sp
