aaLLaa	aa ll aa 
aaLLk0ee	aa ll k0 ee 
aaNNHHaaSSnnxxnnyaee	aa nn aa nn nn xx nn ya ee 
aaNNHHaaSSnnxxnnyaee	aa nn aa t0 nn xx nn ya ee 
aaNNHHnnxxNN	aa nn nn xx nn 
aaNNHHnnxxNNt0aa	aa nn nn xx nn t0 aa 
aaNNHHt0aa	aa nn th aa 
aaNNee	aa nn ee 
aac0iiK0	aa c0 ii k0 
aammuullii	aa mm uu ll ii 
aanniiNN	aa nn ii nn 
aanniillaa	aa nn ii ll aa 
aanniillaaNN	aa nn ii ll aa nn 
aanniillaak0oo	aa nn ii ll aa k0 oo 
aanniit0aa	aa nn ii t0 aa 
c0aaK0yongiit0aa	c0 aa k0 yo ng ii t0 aa 
c0aallaas0vvnnxxNN	c0 aa ll aa s0 vv nn xx nn 
c0ee	c0 ee 
c0iiS0k0oo	c0 ii t0 k0 oo 
c0iiS0k0oo	c0 ii t0 kk oo 
c0iihhyet0aa	c0 ii hh ye t0 aa 
c0iihhyet0oo	c0 ii hh ye t0 oo 
c0iinnaac0ii	c0 ii nn aa c0 ii 
c0iis0iiK0	c0 ii s0 ii k0 
c0iis0iiK0iit0aa	c0 ii s0 ii k0 ii t0 aa 
c0iis0iiK0xxLL	c0 ii s0 ii k0 xx ll 
c0iis0iiK0xxNN	c0 ii s0 ii k0 xx nn 
c0ooLLllyvLLhhaaNN	c0 oo ll ll yv ll hh aa nn 
c0ooMM	c0 oo mm 
c0oongllyuwa	c0 oo ng nn yu wa 
c0uuK0iiLL	c0 uu k0 ii ll 
c0uuK0vv	c0 uu k0 vv 
c0uummooK0c0vvK0xxlloo	c0 uu mm oo k0 c0 vv k0 xx ll oo 
c0uummooK0c0vvK0xxlloo	c0 uu mm oo k0 cc vv k0 xx ll oo 
c0uungeennxxNN	c0 uu ng ee nn xx nn 
c0uungees0vv	c0 uu ng ee s0 vv 
c0vvK0vvt0oo	c0 vv k0 vv t0 oo 
