aaLL	aa ll 
aaLLaap0ooLL	aa ll aa p0 oo ll 
aaLLllyvc0yv	aa ll ll yv c0 yv 
aaLLmmaaC0xxNN	aa ll mm aa c0 xx nn 
aaNN	aa nn 
aaNNC0aa	aa nn c0 aa 
aaNNC0aas0vv	aa nn c0 aa s0 vv 
aaNNHHaaSSt0aa	aa nn aa t0 t0 aa 
aaNNHHaaSSt0aa	aa nn aa t0 tt aa 
aaNNHHk0ee	aa nn kh ee 
aaNNHHk0oo	aa nn kh oo 
aaNNHHnnxxNN	aa nn nn xx nn 
aaNNHHnnxxNNt0aa	aa nn nn xx nn t0 aa 
aaNNHHnnxxNNt0ee	aa nn nn xx nn t0 ee 
aaNNHHnnxxnnya	aa nn nn xx nn ya 
aaNNHHt0vvNN	aa nn th vv nn 
aaNNHHxxNN	aa nn xx nn 
aaNNHHxxNN	aa nn xx nn 
aaNNHHxxNNk0aa	aa nn xx nn k0 aa 
aaNNHHxxNNk0aa	aa nn xx nn k0 aa 
aaNNHHxxmmyvNN	aa nn xx mm yv nn 
aaNNHHxxmmyvNN	aa nn xx mm yv nn 
aaNNHHxxmmyvNNs0vvt0oo	aa nn xx mm yv nn s0 vv t0 oo 
aaNNHHxxmmyvNNs0vvt0oo	aa nn xx mm yv nn s0 vv t0 oo 
aaNNee	aa nn ee 
aaNNees0vv	aa nn ee s0 vv 
aaNNk0eek0aa	aa nn k0 ee k0 aa 
aaNNk0iik0iimmaaNN	aa nn k0 ii k0 ii mm aa nn 
aaNNk0oo	aa nn k0 oo 
aaP0chuuK0t0wek0oo	aa p0 ch uu k0 tt we k0 oo 
aaP0chuuK0t0wevv	aa p0 ch uu k0 tt we vv 
aaPH	aa ph 
aaPHees0vv	aa ph ee s0 vv 
aaPHs0eeuuk0oo	aa p0 s0 ee uu k0 oo 
aaPHs0eeuuk0oo	aa p0 ss ee uu k0 oo 
aac0iiK0t0oo	aa c0 ii k0 tt oo 
aac0iillaangiinnxxNN	aa c0 ii ll aa ng ii nn xx nn 
aac0uu	aa c0 uu 
aacciiLLhheeSSt0aa	aa cc ii ll hh ee t0 t0 aa 
aacciiLLhheeSSt0aa	aa cc ii ll hh ee t0 tt aa 
aahhooP0	aa hh oo p0 
aaiit0xxLLeek0ee	aa ii t0 xx ll ee k0 ee 
aaiit0xxLLii	aa ii t0 xx ll ii 
aaiit0xxLLk0wa	aa ii t0 xx ll k0 wa 
aaiit0xxLLxi	aa ii t0 xx ll xi 
aaiit0xxLLxxNN	aa ii t0 xx ll xx nn 
aakhaas0iiaakkooCHii	aa kh aa s0 ii aa kk oo ch ii 
aakkaap0uuthvv	aa kk aa p0 uu th vv 
aakkaawvs0vvyvSSt0aa	aa kk aa wv s0 vv yv t0 t0 aa 
aakkaawvs0vvyvSSt0aa	aa kk aa wv s0 vv yv t0 tt aa 
aallaangk0ooS0hhaac0ii	aa ll aa ng k0 oo s0 hh aa c0 ii 
aallee	aa ll ee 
aalleephyvNNxxlloo	aa ll ee ph yv nn xx ll oo 
aallxxMMt0aaP0k0ee	aa ll xx mm t0 aa p0 kk ee 
aallxxMMt0aaP0k0oo	aa ll xx mm t0 aa p0 kk oo 
aallxxMMt0aaP0k0vvnnaa	aa ll xx mm t0 aa p0 kk vv nn aa 
aallxxMMt0aaP0t0aannxxNN	aa ll xx mm t0 aa p0 tt aa nn xx nn 
aallxxMMt0aauuMMii	aa ll xx mm t0 aa uu mm ii 
aallxxMMt0aauuMMiillaaNN	aa ll xx mm t0 aa uu mm ii ll aa nn 
aallxxMMt0aauuMMmmaaNNxxLL	aa ll xx mm t0 aa uu mm mm aa nn xx ll 
aallxxMMt0aauuMMxxNN	aa ll xx mm t0 aa uu mm xx nn 
aallxxMMt0aauuMMxxlloo	aa ll xx mm t0 aa uu mm xx ll oo 
aallxxMMt0aauuNN	aa ll xx mm t0 aa uu nn 
aammuuthxxNN	aa mm uu th xx nn 
aanneennxxNN	aa nn ee nn xx nn 
aanneexi	aa nn ee xi 
aanniiLL	aa nn ii ll 
aanniiNN	aa nn ii nn 
aanniihheet0oo	aa nn ii hh ee t0 oo 
aanniik0oo	aa nn ii k0 oo 
aanniik0vvt0xxNN	aa nn ii k0 vv t0 xx nn 
aanniillaa	aa nn ii ll aa 
aanniillaaNN	aa nn ii ll aa nn 
aanniimmyvNN	aa nn ii mm yv nn 
aanniinnii	aa nn ii nn ii 
aanniit0aa	aa nn ii t0 aa 
aanniiya	aa nn ii ya 
aannxxNNc0ii	aa nn xx nn c0 ii 
c0aaK0k0aat0xxLLee	c0 aa k0 k0 aa t0 xx ll ee 
